Name,SKU,Size,Price,OldPrice,Category,SourceURL,CDNImages,ColorVariants,Properties
Mattemoist Lipgloss Yarı Mat Saten Bitişli Likit Ruj 413 Coral Touch - Kahverengi,576908,,249.90,,Health & Beauty,https://www.trendyol.com/note-cosmetics/mattemoist-lipgloss-yari-mat-saten-bitisli-likit-ruj-413-coral-touch-kahverengi-p-576908,https://cdn.dsmcdn.com/mnresize/620/920/ty1541/product/media/images/ty1539/prod/QC/20240913/16/a2bf93e8-7e10-3d0b-8a0e-85bbdefac6a9/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1544/product/media/images/ty1540/prod/QC/20240913/16/3c64ec21-1b98-303f-9103-7a06a3f8c44d/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1541/product/media/images/ty1541/prod/QC/20240913/16/2ff7a5bc-4ea4-3b81-8e01-a90f80838317/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1543/product/media/images/ty1543/prod/QC/20240913/16/aa4ee085-f02d-36ca-8b90-192706f22fe0/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1543/product/media/images/ty1541/prod/QC/20240913/16/de93f629-05b6-3259-9a6e-9174234dd301/1_org_zoom.jpg,,Renk | Kahverengi | Görünüm | Parlak | RGB | #B05E56 | Menşei | TR | Kutu Durumu | Kutu yok | Ürün Güvenliği Bilgisi | Tehlikeli Değil
LTP-V001GL-9BUDF KADIN KOL SAATİ ( 2 Yıl Türkiye Tek Distribütörü Ersa Saat Garantilidir),1060013,,1155,1176,Apparel & Accessories,https://www.trendyol.com/casio/ltp-v001gl-9budf-kadin-kol-saati-2-yil-turkiye-tek-distributoru-ersa-saat-garantilidir-p-1060013,https://cdn.dsmcdn.com/mnresize/620/920/ty1750/prod/QC_ENRICHMENT/20250905/23/41d7375c-ba28-3544-8c59-3daca3f2df37/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1749/prod/QC_ENRICHMENT/20250905/23/b17775bf-7d58-3c18-bb15-516e08cb9015/1_org_zoom.jpg,,Kasa Materyali | İyon Kaplama | Kordon Materyali | Deri | Su Geçirmezlik | 5 ATM | Kasa Renk | Altın | Cam Tipi | Mineral | Mekanizma | Analog | Cam Şekli | Bombeli | Garanti Süresi | 2 Yıl
Wish Of Love Kadın Parfüm Edt 50 Ml.,1069292,,257.49,,Health & Beauty,https://www.trendyol.com/avon/wish-of-love-kadin-parfum-edt-50-ml-p-1069292,https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250322/09/2585ff4e-e6da-39dd-9298-2509deb42821/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1585/prod/QC/20241015/09/612c8a2a-477b-391b-93f4-e66312958018/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1584/prod/QC/20241015/09/32501f69-18d2-3760-a63f-a5b189b5b25c/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1585/prod/QC/20241015/09/bcee9919-3911-32fc-8a56-825bbc9c2aa0/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1655/prod/QC/20250322/09/b747e2ef-8b96-3e70-b642-ce55839e5024/1_org_zoom.jpg,,Tip | EDT | Koku Türü | Çiçeksi | Menşei | PL | Ürün Güvenliği Bilgisi | Sınıf 3 Alevlenir sıvılar | Refill | Hayır | Renk | Beyaz
Unisex Siyah Trekkıng Bot V2rts,4157912,36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44,381.07,,Apparel & Accessories,https://www.trendyol.com/tonny-black/unisex-siyah-trekking-bot-v2rts-p-4157912,https://cdn.dsmcdn.com/mnresize/620/920/ty1778/prod/QC_ENRICHMENT/20251020/12/7f148f9b-dec0-38a5-927f-adef0f1fc9a2/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1777/prod/QC_ENRICHMENT/20251020/12/4a23cf8a-cd5a-32c5-85c9-31541d704a61/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1778/prod/QC_ENRICHMENT/20251020/12/b1d33e7c-e74a-3f23-a8c0-f52198843b21/1_org_zoom.jpg,,Materyal | Suni Deri | Topuk Tipi | Kalın Topuklu | Topuk Boyu | Kısa Topuklu (1- 4 cm) | Desen | Düz | Kutu Durumu | Kutu yok | Kullanım Alanı | Outdoor | Bağlama Şekli | Bağcıklı | Renk | Siyah
Kadın Pink Çiçeksi-Meyvemsi 50 ml Parfüm L8103AZNS,6585484,,299.99,,Health & Beauty,https://www.trendyol.com/defacto/kadin-pink-ciceksi-meyvemsi-50-ml-parfum-l8103azns-p-6585484,https://cdn.dsmcdn.com/mnresize/620/920/ty1724/prod/QC_ENRICHMENT/20250809/21/0a4df5e4-8708-3c7a-906b-22d1ea55afa0/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1724/prod/QC_ENRICHMENT/20250809/21/e6e45a0a-d70c-3c81-931c-9acb0f9f9f7b/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1724/prod/QC_ENRICHMENT/20250809/21/0dccc1c8-b836-3211-b816-ab1e30580ac5/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1722/prod/QC_ENRICHMENT/20250809/21/a76ff2ab-03ca-3f69-b3cb-75ec8d1895ed/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1723/prod/QC_ENRICHMENT/20250809/21/77e8d8fe-5b6d-30ba-8e8f-23081d65e3fd/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1722/prod/QC_ENRICHMENT/20250809/21/d4532840-8339-3b06-bca8-1ae728a3b226/1_org_zoom.jpg,,Tip | EDP | Koku Türü | Aromatik | Menşei | TR | Ürün Güvenliği Bilgisi | Tehlikeli Değil | Refill | Hayır | Renk | Pembe
WWG203804 Kol Saati,6612064,,1380.60,,Apparel & Accessories,https://www.trendyol.com/wesse/wwg203804-kol-saati-p-6612064,https://cdn.dsmcdn.com/mnresize/620/920/ty1834/prod/QC_ENRICHMENT/20260304/16/9993f5e1-92f1-3604-a088-2cefa6cd5bef/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1835/prod/QC_ENRICHMENT/20260304/16/0a7da1d4-50ab-361a-b81c-c300ed9c4eb3/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1835/prod/QC_ENRICHMENT/20260304/16/1ec5d570-1c92-3ac9-b8fe-ec25bc98ba2f/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1833/prod/QC_ENRICHMENT/20260304/16/193a50d7-916f-3099-8c56-18356b918841/1_org_zoom.jpg,,Kasa Materyali | Çelik | Kordon Materyali | Çelik | Su Geçirmezlik | 5 ATM | Mekanizma | Quartz | Kasa Renk | Metalik | Cam Tipi | Mineral | Cam Şekli | Düz | Garanti Süresi | 2 Yıl
Bh 8239 Siyah Güneş Gözlüğü,6982849,,288.38,,Apparel & Accessories,https://www.trendyol.com/by-harmony/bh-8239-siyah-gunes-gozlugu-p-6982849,https://cdn.dsmcdn.com/mnresize/620/920/ty1780/prod/QC_ENRICHMENT/20251025/15/4860b0a7-fbbb-3067-b080-13da6649baab/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1780/prod/QC_ENRICHMENT/20251025/15/a8903701-5e3d-3822-854e-fe6522915657/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1781/prod/QC_ENRICHMENT/20251025/15/34d856bf-a074-3949-8180-d2ebbc252251/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1780/prod/QC_ENRICHMENT/20251025/15/9027127e-a277-3c72-a2af-e5646c913853/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1781/prod/QC_ENRICHMENT/20251025/15/bccd0b36-db9d-37e6-a37d-d575d14aba46/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1779/prod/QC_ENRICHMENT/20251025/15/fa1ad653-e3be-35d6-9506-e3f7ece55eb0/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1779/prod/QC_ENRICHMENT/20251025/15/2ba15d5a-14f5-3794-9382-dd23a914a6ad/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1781/prod/QC_ENRICHMENT/20251025/15/4de1c4b4-f83c-39df-bce6-825e5499561f/1_org_zoom.jpg,,Cam Materyali | UV400 | Çerçeve Materyali | Kemik | Çerçeve Formu | Dikdörtgen | Cam Renk | Siyah | Renk | Siyah | Cam Tipi | Organik | Çerçeve Tipi | Çerçeveli
W708 Garantili Kadın Klasik Günlük Tarz Şık ve Rahat Topuklu Ayakkabı,35296960,36 | 37 | 38 | 39 | 40,349.90,1269.90,Apparel & Accessories,https://www.trendyol.com/muggo/w708-garantili-kadin-klasik-gunluk-tarz-sik-ve-rahat-topuklu-ayakkabi-p-35296960,https://cdn.dsmcdn.com/mnresize/620/920/ty1549/prod/QC/20240916/20/484fe95e-649e-3b00-a5c1-79c9573b58c1/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1549/prod/QC/20240916/20/848a2225-6952-37de-b19a-1d08cc517ccd/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1550/prod/QC/20240916/20/70aab407-1e59-3939-9942-6c21802c19be/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1548/prod/QC/20240916/20/ec1bd32c-9c34-3aef-8b37-8639f21e0bca/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1550/prod/QC/20240916/20/1f917128-96c2-3a92-9939-21f71775110d/1_org_zoom.jpg,,Materyal | Suni Deri | Topuk Tipi | Kalın Topuklu | Topuk Boyu | Orta Topuklu (5-9 cm) | Sürdürülebilirlik Detayı | Hayır | Ek Özellik | Ortopedik Taban | Renk | Siyah | İç Astar & İç Taban Materyali | Suni Deri | Alt Taban Materyali | Poli
Şişme Bot Seti - - Explorer 200 - 185cm - 2 Kişilik (58331),42373105,,1124.45,,Sporting Goods,https://www.trendyol.com/intex/sisme-bot-seti-explorer-200-185cm-2-kisilik-58331-p-42373105,https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250327/17/5c548286-3ab5-3de5-801d-cb8c96501cef/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/4efd6520-4bf8-3d14-80ec-f5b3df6844c9/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/2349a6bf-6f98-3235-b36f-73b000627329/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/8063fe39-fdfd-34df-94ca-11fbe183ad9b/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250327/17/e8750222-cfdd-3bb5-b2a9-2e48771c57b3/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/c0225124-72e1-389c-bf24-aa32cf344fc3/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty1655/prod/QC/20250327/17/cdac131e-2d0a-3b66-9b8c-56141a8f5a68/1_org_zoom.jpg,"Turuncu-Siyah: [https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250327/17/5c548286-3ab5-3de5-801d-cb8c96501cef/1_org_zoom.jpg] | Turuncu: [https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250327/17/5c548286-3ab5-3de5-801d-cb8c96501cef/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/4efd6520-4bf8-3d14-80ec-f5b3df6844c9/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/128/-/marketing/datascience/automation/2020/12/9/EnCokSatan_202012091129.png, https://cdn.dsmcdn.com/mnresize/106/-/indexing-sticker-stamp/moon/75439ab0-63fd-470d-8c1a-8d2fb65a3a35.png, https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/2349a6bf-6f98-3235-b36f-73b000627329/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/8063fe39-fdfd-34df-94ca-11fbe183ad9b/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/620/920/ty1654/prod/QC/20250327/17/e8750222-cfdd-3bb5-b2a9-2e48771c57b3/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/620/920/ty1653/prod/QC/20250327/17/c0225124-72e1-389c-bf24-aa32cf344fc3/1_org_zoom.jpg, https://cdn.dsmcdn.com/mnresize/620/920/ty1655/prod/QC/20250327/17/cdac131e-2d0a-3b66-9b8c-56141a8f5a68/1_org_zoom.jpg]",Renk | Turuncu | Menşei | TR
Kadın Hakiki Deri Sandalet,42772536,35 | 36 | 37 | 38 | 39 | 40 | 41,1499.90,,Apparel & Accessories,https://www.trendyol.com/ulku-yaman-collection/kadin-hakiki-deri-sandalet-p-42772536,https://cdn.dsmcdn.com/mnresize/620/920/ty415/product/media/images/20220430/13/100725001/76072584/1/1_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty415/product/media/images/20220430/13/100725001/76072584/2/2_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty416/product/media/images/20220430/13/100725001/76072584/3/3_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty388/product/media/images/20220407/16/85491769/76072584/4/4_org_zoom.jpg | https://cdn.dsmcdn.com/mnresize/620/920/ty388/product/media/images/20220407/16/85491769/76072584/5/5_org_zoom.jpg,,Topuk Tipi | Düz Topuklu | Topuk Boyu | Kısa Topuklu (1- 4 cm) | Materyal | Hakiki Deri | Alt Taban Materyali | EVA | İç Astar & İç Taban Materyali | Hakiki Deri | Renk | Kahverengi | Bağlama Şekli | Bantlı | Sürdürülebilirlik Detayı | Hayır
